id,text
877347794759155712,USA
877347794759155712,Georgia
877347794759155712,Guatemala
877347794759155712,HongKong
877347794759155712,UK
877347794759155712,China
877347794759155712,NEW
877347794759155712,newyork
877347796218544128,Awadh
877347796218544128,AwadhiCuisine
877347796218544128,Biryani
877347796218544128,Food
877347796218544128,India
877347796218544128,IncredibleIndia
877347800727552000,Products
877347800727552000,MarketResearch
877347800727552000,Statistics
877347800727552000,mrx
877347802967396352,Wikileaks
877347804095565824,BAMA2017DiamondEdition_EXO
877347804095565824,BAMA2017
877347804095565824,USA
877347805320192000,قطر_مخترقه_بالايفون
877347805936975872,NIKON
877347805936975872,animals
877347805936975872,photo
877347805936975872,животные
877347805936975872,фото
877347805936975872,nature
877347807937429504,WIN
877347809787301888,NowPlaying
877347809787301888,NP
877347811301351424,conservativeagenda
877347813545213956,TrumpTrain
877347815105503235,USA
877347815105503235,Georgia
877347815105503235,Guatemala
877347815105503235,HongKong
877347815105503235,UK
877347815105503235,China
877347815105503235,NEW
877347815105503235,newyork
877347816254734336,INDvPAK
877347816254734336,CT17Final
877347817324498944,dogs
877347817324498944,Chicago
877347818524086272,NotMyFight
877347818524086272,Specials
877347819065008128,GBRoad
877347819065008128,Society
877347819065008128,Culture
877347821552377856,UK
877347821552377856,Britain
877347821552377856,WhiteGenocide
877347821552377856,EU
877347822374461440,YogaDay2017
877347826388398081,dogs
877347826388398081,Chicago
877347826581340160,CosasQueLosMexicanosCreen
877347826581340160,GobiernoEspia
877347825067196416,Prodigy
877347825067196416,MobbDeep
877347825067196416,stars
877347825067196416,tribute
877347825067196416,rapper
877347826920939524,nike
877347827759931392,Yoga
877347830314041344,USA
877347831488630785,Bolivia
877347831488630785,Venezuela
877347831488630785,Cuba
877347831488630785,España
877347831794679808,BAMA2017DiamondEdition_EXO
877347831794679808,BAMA2017
877347831794679808,USA
877347831954251776,NowPlaying
877347831954251776,Listen
877347831954251776,DeepLDN
877347831954251776,Radio
877347832084168704,dogs
877347832084168704,Kankakee
877347832583376897,brush
877347832583376897,vintage
877347832583376897,pottery
877347832583376897,shopetsy
