id,screen_name,name,friends_count,followers_count,statuses_count,verified,utc_offset,time_zone
877347791764312065,879c50f54a37411,Venkata Giriappa,5006,2199,56649,false,NULL,NULL
877347790988476416,indiajobslist,India Jobs,73,134,9525,false,19800,New Delhi
877347792561119233,UnclutchedPearl,The Counter Feminist,3316,1752,2530,false,-25200,Pacific Time (US & Canada)
877347793077010433,tabitharussell,tabitha,789,3405,34227,false,-25200,Pacific Time (US & Canada)
877347793035182081,Ifavstylinson_,Løuis Sweet Creature,8438,7660,13674,false,-25200,Pacific Time (US & Canada)
877347793697886209,sul535,✳ الأدعم |افداك تميم,5364,46234,301319,false,-18000,Quito
877347793391812612,EvieRosseel,Evie Rosseel,467,296,17782,false,NULL,NULL
877347794335531008,DelfiDuarte,delfi,225,643,13190,false,-10800,Brasilia
877347794759155712,djyannickyan,Yannick Yan,4697,4702,18255,false,7200,Paris
877347796218544128,seemamustafa,seemamustafa,495,6337,18798,false,-36000,Hawaii
877347796633956352,IppPakistan,IPP ISLAH PAKISTAN P,283,36,757,false,NULL,NULL
877347797581709313,deltaweese,Sarah,5001,3055,50265,false,NULL,NULL
877347799901319168,gurriersread,Catherine Walsh,3808,1844,38833,false,NULL,NULL
877347800727552000,Product_Data,Product Data,86,476,117314,false,3600,London
877347800677318656,BeardedDad88,JoshHarrisVlogs,67,152,1464,false,-25200,Pacific Time (US & Canada)
877347802967396352,njberniebird,Helen Carmichael,90,7,795,false,NULL,NULL
877347803017752576,Meenu_sahai,Meenu Sahai,307,121,1641,false,NULL,NULL
877347802959020032,Miss_Jessers,Jessica Shaeffer,145,11,91,false,-14400,Eastern Time (US & Canada)
877347803499855872,mykneeguide,My Knee Guide,3093,8187,32534,false,-14400,Eastern Time (US & Canada)
877347804095565824,asnmaok,MALINEE,91,28,15319,false,NULL,NULL
877347803755950081,karenDdkdcd,Karen,22,5,56,false,NULL,NULL
877347804393463809,kbaron131,Karen Baron,201,239,16424,false,NULL,NULL
877347804187959296,chaosentity,NotURTargetAudience,106,46,24134,false,-18000,Central Time (US & Canada)
877347804749996032,dtucker4218,Dennis Tucker,186,749,10130,false,NULL,NULL
877347805320192000,mEvp0MXBEjgilra,Mohsen Saleh,900,981,24332,false,NULL,NULL
877347805378904065,jfnatalie,John Natalie,116,137,1226,false,-14400,Eastern Time (US & Canada)
877347804137619458,JPGTRS,Jaya Prakash Goud,94,41,28,false,NULL,NULL
877347805739831297,TheRebelTreble,Chris Henderson,193,329,14551,false,0,Casablanca
877347806192705541,Hy_phen97,Emanuel Velazquez🌐,282,227,4404,false,NULL,NULL
877347805936975872,awesometweeeets,Make Your Day,121518,111533,110976,false,10800,Riga
877347806930804736,2Gkento222,Kent Tsuji,341,198,3185,false,NULL,NULL
877347807954391040,Jadysthefany2,Sangue de mulamba ❤️,413,418,4883,false,NULL,NULL
877347808298151936,somerfjord,Matt Somerford,1458,817,17004,true,3600,London
877347807937429504,bossmanvapes,Bossman Vapes,518,223,223,false,NULL,NULL
877347808990330880,Broquete,Elvin Broquete,731,1344,177571,false,-14400,Eastern Time (US & Canada)
877347809522925568,neptune7321,Asian 4 Trump,21,2951,49465,false,-25200,Pacific Time (US & Canada)
877347809510412288,Rael_ffc,Dourado🔪 🇮🇹,336,423,17059,false,NULL,NULL
877347809787301888,RaptureNP,Rapture #NowPlaying,28,151,236203,false,3600,London
877347809921511424,NationFirst4All,One Nation One Law,21287,19571,28312,false,19800,Mumbai
877347810907115525,bolivaredwin,EDWIN BOLIVAR,2271,416,598,false,-14400,Caracas
877347810450046977,monari_michelle,MICHELLE ♡.,885,807,33717,false,-25200,Pacific Time (US & Canada)
877347811301351424,TomsUsedCars,tom.,493,193,323,false,NULL,NULL
877347811766837248,mikestillalive,mukesh k,538,201,222,false,NULL,NULL
877347811716546560,__petitmaya,⛅️く ぼ た ま や⛅️,302,217,7699,false,32400,Tokyo
877347811871920129,Alexand85456195,Alexandra Stone,147,0,218,false,NULL,NULL
877347811783790598,PhilNista,Phil Nista 🌹,676,1433,12445,false,-14400,Eastern Time (US & Canada)
877347812169494529,hatebyun,nanda,456,517,3995,false,-25200,Pacific Time (US & Canada)
877347813545213956,DrinkNForte,PROUD AMERICAN,108,442,15662,false,NULL,NULL
877347812442128385,laiiiiqueen,lai cass👑,57,33,197,false,NULL,NULL
877347815105503235,djyannickyan,Yannick Yan,4698,4702,18255,false,7200,Paris
877347815726305280,pawar8989,Devansh Pawar,5000,4049,34711,false,19800,Asia/Calcutta
877347816254734336,bthakur890,Bhupinder singh,99,10,9,false,NULL,NULL
877347816254853122,sugandhankher,Sugandh,51,47,266,false,NULL,NULL
877347816246398976,JobinM23,Jobin M,68,58,629,false,-25200,Tijuana
877347817324498944,AutoChelms,AUTOCONCEPTSCHELMS,3774,2347,302174,false,NULL,NULL
877347818058297345,anthoknees,y'all don't read,966,17804,170022,true,-25200,Pacific Time (US & Canada)
877347818524086272,murphymike,Mike Murphy,1480,73684,683,true,-25200,Pacific Time (US & Canada)
877347819065008128,seemamustafa,seemamustafa,495,6337,18798,false,-36000,Hawaii
877347819300040704,Angelin31322169,Angelina David,78,0,90,false,NULL,NULL
877347819652173824,AshrikJ,Ashrik JLD,25,7,6,false,NULL,NULL
877347821460099073,alicebiruta,Esdruxu.lice,2331,6354,153296,false,-7200,Greenland
877347821552377856,NetizenNickster,Netizen Nickster,890,502,4285,false,-14400,Eastern Time (US & Canada)
877347821854351360,BrendaBrambiIIa,brenda,186,502,14431,false,-10800,Brasilia
877347822374461440,theeshaktiman,Anshumaan upadhyay,184,201,5046,false,19800,New Delhi
877347822785282048,impreetM,india 🇮🇳 #WWC17,80,449,12414,false,NULL,NULL
877347822881976320,Marshalliars,Sara,509,783,25435,false,-10800,Brasilia
877347823053807616,svtverse,an ✾ 17,323,155,4834,false,NULL,NULL
877347823053713410,patriothates45,Meena,2670,1312,15213,false,-25200,Pacific Time (US & Canada)
877347823213096960,StephenBoyes1,Stephen Boyes,105,37,708,false,NULL,NULL
877347824442105861,Charanrajck,Charan Raj,1077,236,6710,false,NULL,NULL
877347824802816000,psychxtyler,laputamadre,635,1036,56093,false,-10800,Buenos Aires
877347826753191936,aysenurakdogann,Ayşenur.,208,481,318,false,NULL,NULL
877347825796882433,indiajobslist,India Jobs,73,134,9526,false,19800,New Delhi
877347826388398081,AutoChelms,AUTOCONCEPTSCHELMS,3774,2347,302175,false,NULL,NULL
877347826581340160,SapisimoG,J.G.G.,3122,2567,118763,false,-14400,Eastern Time (US & Canada)
877347825067196416,SupremoNetuno,Supremo Netuno,127,6,23,false,NULL,NULL
877347826920939524,platinumprican,Iliana Fischer,1257,17739,15729,false,-25200,Pacific Time (US & Canada)
877347828476985344,ImPa47,Pankaj Devnani,386,346,1615,false,NULL,NULL
877347827759931392,Rettweetme,Rettweet Me,0,20,1257,false,NULL,NULL
877347828095430656,orange_puppet,Impeach Orange Clown,209,581,14933,false,-14400,Eastern Time (US & Canada)
877347828556627970,tangsin13,GODHEENIM,613,67,87827,false,NULL,NULL
877347828674187264,CaptPromila,PROM,1912,1481,20305,false,NULL,NULL
877347828426788864,steveholland1,Steve Holland,679,13458,8475,true,-18000,Quito
877347829856911360,miasamilleee,sporty spice,269,220,5495,false,NULL,NULL
877347830037401600,BrendaBoggs5,Brenda sue 28,73,102,10547,false,NULL,NULL
877347830645407748,jonathanloo1999,Jon Loo,253,214,7940,false,NULL,NULL
877347831002025989,CandisGauvin,Candis Gauvin,2434,1759,15912,false,NULL,NULL
877347831144513537,pauGardner,paul gardner,360,135,1095,false,28800,Perth
877347830314041344,ChurchUSA,The American Church,243,179,26588,false,-14400,Eastern Time (US & Canada)
877347831488630785,aleprador,Alejandra Prado,1353,926,20718,false,-14400,La Paz
877347831794679808,asnmaok,MALINEE,91,28,15320,false,NULL,NULL
877347832306352129,anjalimanohar,Anjali Manohar,632,841,12407,false,19800,New Delhi
877347831954251776,Katheri32887194,Katherine Flores,218,2,347,false,NULL,NULL
877347832214110208,annikxa,islandgirl_32🌺🌴,439,1041,81577,false,-25200,Pacific Time (US & Canada)
877347832084168704,AutoChelms,AUTOCONCEPTSCHELMS,3774,2347,302176,false,NULL,NULL
877347832981630977,prathameshpurud,Prathamesh,1116,176,1401,false,NULL,NULL
877347833367494656,Freaking_Indian,Indian Freak,1489,67,1989,false,NULL,NULL
877347832583376897,reparziale,Vintage Eve's,457,505,3763,false,NULL,NULL
877347833673904132,angie_hoon,angelina♡,97,378,3371,false,NULL,NULL
877347833971482625,ChileReport,Chile Report,1226,1181,24333,false,-14400,Santiago
877347833946484737,akanicsdad,Bill Smith,100,1474,44272,false,-14400,Eastern Time (US & Canada)
877347835477348352,AvesFrederick,Frederick Aves,76,5,66,false,NULL,NULL
877347835808591872,srinivasjrao,Srinivas Rao,288,143,1405,false,19800,New Delhi
877347836219863040,paulmcclintock,Paul McClintock,5395,5409,112639,false,-14400,Eastern Time (US & Canada)
877347836744130562,FrizzOne2,#SAMarch4Gaza,5004,1736,24688,false,-14400,Eastern Time (US & Canada)
877347836987195392,WiIdDreamer,WiIdDreamer,10035,10599,1446,false,-25200,Pacific Time (US & Canada)
877347836865777665,forsmax,serq,36,5,373,false,3600,London
877347837289222144,Col_Connaughton,ISRAEL BOMBS BABIES,2010,4998,1357726,false,3600,London
877347838920765440,0hZeRo,UNDERCOVER,32925,34119,1477,false,-25200,Pacific Time (US & Canada)
877347839080136704,KCGreen17,Casey Green,1082,158,12784,false,NULL,NULL
877347839688429571,BRoeTiger,Barry Roe,312,192,4293,false,NULL,NULL
877347840304889856,_PiemeepDomo,Niquole Leitch,492,424,26944,false,28800,Beijing
877347840321662978,vickygarch,Vicky Garchitorena,118,2108,13189,false,NULL,NULL
877347842007986177,IndianExpress,The Indian Express,736,2497140,323620,true,19800,New Delhi
877347841949278208,imbaeno,Zina,127,1073,32231,false,-10800,Atlantic Time (Canada)
877347842586587136,karissaevans231,Karissa Evans,20,0,62,false,NULL,NULL
877347842225954817,jaibholenathh,Akandbharath,492,40,2186,false,NULL,NULL
877347842456666112,dailynation,Daily Nation,278,1156464,341847,true,10800,Nairobi
877347841815056384,BuzzNewsUK_,BuzzNews,900,1046,124465,false,-25200,Pacific Time (US & Canada)
877347842981064704,BritishVogue,British Vogue,1699,3526411,251724,true,3600,London
877347843077545984,i_am_baadshah,Meet Joshi,799,499,3741,false,NULL,NULL
877347843270463488,TheQuint,The Quint,219,164439,120302,true,19800,New Delhi
877347843609985025,MANUELMEZAH,Manuel Meza Hinojosa,1701,1468,3833,false,NULL,NULL
877347844067397632,fentz_,مليحة,239,444,29564,false,3600,London
877347844046413824,AutoChelms,AUTOCONCEPTSCHELMS,3774,2347,302177,false,NULL,NULL
877347844184657921,Sweating123,Sweating Treatments,210,4,49,false,NULL,NULL
877347843857633280,Sensi__Me,Sensi,14072,14410,1448,false,-25200,Pacific Time (US & Canada)
877347844000288768,Sauganash_Munns,Sauganash Principal,54,321,389,false,-18000,Central Time (US & Canada)
877347844469817345,Maria_sydney,Senator Amidala,1278,1185,20241,false,NULL,NULL
877347844558082048,D_Minors,NoTime For Loser,18405,19406,1482,false,-25200,Pacific Time (US & Canada)
877347845249974272,seemamustafa,seemamustafa,495,6337,18798,false,-36000,Hawaii
